epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,235.274,0.96491,1.03831,0.99368,0.81046,0.36024,0.69059,0.49862,0.99654,2.58284,0.94692,0.000704644,0.000704644,0.000704644
43,240.582,0.98519,1.09031,0.95595,0.81046,0.36024,0.69059,0.49862,0.99654,2.58284,0.94692,0.000709599,0.000709599,0.000709599
44,245.964,0.84827,0.96188,0.94385,0.8349,0.5161,0.72362,0.51936,1.09675,2.41464,0.9856,0.000713987,0.000713987,0.000713987
45,251.275,1.00632,1.03608,1.0709,0.8349,0.5161,0.72362,0.51936,1.09675,2.41464,0.9856,0.00071781,0.00071781,0.00071781
46,256.624,0.93769,1.01086,0.97337,0.76044,0.51251,0.71534,0.55529,0.99946,2.24003,0.9262,0.000721066,0.000721066,0.000721066
47,261.828,0.96683,0.97026,0.96594,0.76044,0.51251,0.71534,0.55529,0.99946,2.24003,0.9262,0.000723757,0.000723757,0.000723757
48,267.186,0.89644,1.03993,0.94252,0.73093,0.5699,0.7413,0.59166,0.91479,2.15473,0.92046,0.000725882,0.000725882,0.000725882
49,272.733,1.08144,1.00533,1.01996,0.73093,0.5699,0.7413,0.59166,0.91479,2.15473,0.92046,0.000727441,0.000727441,0.000727441
50,278.043,0.97356,1.01026,0.97838,0.77162,0.65061,0.73645,0.54823,1.10133,2.13771,0.98898,0.000728434,0.000728434,0.000728434
51,283.309,0.98573,0.95832,0.97849,0.77162,0.65061,0.73645,0.54823,1.10133,2.13771,0.98898,0.000721645,0.000721645,0.000721645
52,288.65,0.84182,0.86163,0.92331,0.75923,0.65343,0.76895,0.53042,1.20354,2.1197,1.01143,0.000707498,0.000707498,0.000707498
53,293.933,0.84556,0.89427,0.92783,0.75923,0.65343,0.76895,0.53042,1.20354,2.1197,1.01143,0.000693351,0.000693351,0.000693351
54,299.863,0.84736,0.90975,0.94235,0.78384,0.66941,0.79996,0.58036,1.10999,2.00354,0.97457,0.000679204,0.000679204,0.000679204
55,305.709,0.83824,0.86764,0.9634,0.78384,0.66941,0.79996,0.58036,1.10999,2.00354,0.97457,0.000665057,0.000665057,0.000665057
56,311.555,0.88702,0.95751,0.94413,0.78744,0.68015,0.8119,0.60792,0.9527,1.8765,0.92041,0.000650909,0.000650909,0.000650909
57,317.295,0.81895,0.8825,0.93858,0.78744,0.68015,0.8119,0.60792,0.9527,1.8765,0.92041,0.000636762,0.000636762,0.000636762
58,323.236,0.8206,0.83258,0.9312,0.89217,0.62634,0.80961,0.64021,0.85544,1.73231,0.90416,0.000622615,0.000622615,0.000622615
59,328.959,0.79233,0.87779,0.91823,0.89217,0.62634,0.80961,0.64021,0.85544,1.73231,0.90416,0.000608468,0.000608468,0.000608468
60,334.784,0.78761,0.95503,0.9309,0.8148,0.68464,0.83059,0.64138,0.89986,1.64714,0.92059,0.000594321,0.000594321,0.000594321
61,340.336,0.7652,0.79217,0.92159,0.8148,0.68464,0.83059,0.64138,0.89986,1.64714,0.92059,0.000580174,0.000580174,0.000580174
