epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,991.681,0.41273,0.46916,0.8434,0.98373,0.96549,0.98573,0.93379,0.32537,0.43334,0.79878,0.000848969,0.000848969,0.000848969
43,1012.34,0.42212,0.45962,0.82897,0.97684,0.94485,0.98227,0.93451,0.3568,0.47431,0.80124,0.000834822,0.000834822,0.000834822
44,1033,0.42854,0.45089,0.83237,0.98465,0.97002,0.98256,0.93887,0.33511,0.47031,0.79792,0.000820675,0.000820675,0.000820675
45,1054.44,0.44786,0.46717,0.83776,0.97038,0.96986,0.98071,0.93775,0.32905,0.45772,0.79854,0.000806528,0.000806528,0.000806528
46,1075.22,0.40406,0.44984,0.83717,0.97406,0.9567,0.97948,0.93737,0.32307,0.47152,0.79862,0.00079238,0.00079238,0.00079238
47,1095.86,0.42901,0.44709,0.83556,0.98769,0.95473,0.98023,0.94009,0.31438,0.46018,0.79626,0.000778233,0.000778233,0.000778233
48,1116.6,0.39705,0.4422,0.82744,0.97581,0.94541,0.98111,0.95023,0.30591,0.46156,0.79483,0.000764086,0.000764086,0.000764086
49,1137.19,0.40434,0.44164,0.83874,0.98282,0.94642,0.9788,0.93373,0.30813,0.43784,0.79188,0.000749939,0.000749939,0.000749939
50,1157.64,0.41744,0.44953,0.84561,0.9857,0.94509,0.97979,0.93583,0.32733,0.43782,0.79409,0.000735792,0.000735792,0.000735792
51,1178.13,0.44257,0.45215,0.83696,0.97789,0.94444,0.98035,0.93359,0.33133,0.46708,0.79749,0.000721645,0.000721645,0.000721645
52,1198.89,0.45221,0.44196,0.83674,0.98348,0.94527,0.97971,0.91865,0.3461,0.48022,0.80191,0.000707498,0.000707498,0.000707498
53,1219.69,0.42357,0.44798,0.83777,0.98471,0.95665,0.98964,0.93298,0.35467,0.44246,0.80762,0.000693351,0.000693351,0.000693351
54,1240.13,0.43098,0.45335,0.84014,0.99135,0.98252,0.99233,0.93541,0.32899,0.41716,0.79905,0.000679204,0.000679204,0.000679204
55,1260.63,0.39866,0.42345,0.83571,0.99131,0.97425,0.99233,0.9386,0.34456,0.41842,0.80072,0.000665057,0.000665057,0.000665057
56,1281.12,0.40956,0.42838,0.83673,0.97073,0.98263,0.98896,0.93344,0.33061,0.42657,0.79837,0.000650909,0.000650909,0.000650909
57,1301.67,0.42889,0.43855,0.83914,0.98254,0.96111,0.99279,0.93302,0.35077,0.41099,0.80707,0.000636762,0.000636762,0.000636762
58,1322.12,0.42454,0.42842,0.83088,0.98757,0.97135,0.99365,0.93451,0.31687,0.37284,0.7997,0.000622615,0.000622615,0.000622615
59,1342.72,0.4015,0.41154,0.82684,0.99416,0.98041,0.9931,0.94195,0.31806,0.37391,0.79612,0.000608468,0.000608468,0.000608468
60,1363.43,0.39174,0.41614,0.83729,0.9923,0.96825,0.99245,0.9439,0.33879,0.37081,0.80416,0.000594321,0.000594321,0.000594321
61,1384.14,0.40095,0.40085,0.82779,0.98104,0.96111,0.99149,0.93903,0.3107,0.37728,0.79535,0.000580174,0.000580174,0.000580174
62,1404.68,0.39145,0.41029,0.83598,0.99154,0.96111,0.99152,0.94455,0.31764,0.37069,0.79769,0.000566027,0.000566027,0.000566027
63,1425.2,0.40055,0.39488,0.82695,0.9876,0.9599,0.99074,0.95455,0.29769,0.3734,0.7951,0.00055188,0.00055188,0.00055188
64,1445.76,0.38573,0.39032,0.82793,0.98078,0.95876,0.98257,0.93238,0.33508,0.39612,0.79916,0.000537733,0.000537733,0.000537733
65,1466.18,0.37904,0.40504,0.83292,0.98541,0.94722,0.97562,0.93029,0.33822,0.40543,0.80217,0.000523586,0.000523586,0.000523586
66,1486.86,0.37897,0.37911,0.82011,0.97186,0.96683,0.97782,0.93292,0.31904,0.39355,0.79887,0.000509438,0.000509438,0.000509438
67,1507.27,0.38898,0.38793,0.83453,0.98867,0.96006,0.9836,0.93951,0.31915,0.37514,0.79955,0.000495291,0.000495291,0.000495291
68,1527.72,0.39417,0.38409,0.83239,0.98048,0.95441,0.98524,0.95025,0.31396,0.38164,0.79947,0.000481144,0.000481144,0.000481144
69,1549.77,0.36595,0.37826,0.82951,0.97384,0.97594,0.98089,0.94848,0.28681,0.38104,0.79389,0.000466997,0.000466997,0.000466997
70,1570.38,0.40641,0.3877,0.82805,0.96931,0.97981,0.98287,0.94288,0.30621,0.3734,0.79629,0.00045285,0.00045285,0.00045285
