epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,398.729,0.60523,0.52474,0.87965,0.85953,0.86133,0.8877,0.62683,1.11697,0.9432,0.97677,0.000580174,0.000580174,0.000580174
62,405.729,0.60689,0.56929,0.91315,0.82383,0.87484,0.89978,0.67179,0.96096,0.89406,0.93712,0.000566027,0.000566027,0.000566027
63,413.028,0.59182,0.52791,0.85449,0.82383,0.87484,0.89978,0.67179,0.96096,0.89406,0.93712,0.00055188,0.00055188,0.00055188
64,420.014,0.71218,0.58692,0.89701,0.86944,0.86527,0.90649,0.71391,0.89563,0.87542,0.92055,0.000537733,0.000537733,0.000537733
65,651.217,0.58164,0.52761,0.85863,0.86944,0.86527,0.90649,0.71391,0.89563,0.87542,0.92055,0.000523586,0.000523586,0.000523586
66,658.137,0.62733,0.56049,0.89051,0.88536,0.86292,0.90752,0.71795,0.90041,0.87606,0.9158,0.000509438,0.000509438,0.000509438
67,664.086,0.55185,0.51176,0.83899,0.88536,0.86292,0.90752,0.71795,0.90041,0.87606,0.9158,0.000495291,0.000495291,0.000495291
68,668.551,0.61856,0.55658,0.89359,0.8858,0.87724,0.90448,0.71856,0.91042,0.87167,0.91009,0.000481144,0.000481144,0.000481144
69,672.585,0.58334,0.53882,0.86799,0.8858,0.87724,0.90448,0.71856,0.91042,0.87167,0.91009,0.000466997,0.000466997,0.000466997
70,676.445,0.65664,0.55612,0.88179,0.8348,0.88811,0.90506,0.70286,0.94841,0.84645,0.92073,0.00045285,0.00045285,0.00045285
71,680.41,0.64271,0.5514,0.89368,0.8348,0.88811,0.90506,0.70286,0.94841,0.84645,0.92073,0.000438703,0.000438703,0.000438703
72,684.244,0.59534,0.50236,0.856,0.8049,0.92593,0.91187,0.72662,0.87647,0.82918,0.90781,0.000424556,0.000424556,0.000424556
73,688.072,0.59325,0.51976,0.85997,0.8049,0.92593,0.91187,0.72662,0.87647,0.82918,0.90781,0.000410409,0.000410409,0.000410409
74,691.766,0.58021,0.5046,0.87152,0.8365,0.92511,0.91558,0.72423,0.84237,0.8224,0.90185,0.000396262,0.000396262,0.000396262
75,695.626,0.58942,0.52385,0.86223,0.8365,0.92511,0.91558,0.72423,0.84237,0.8224,0.90185,0.000382115,0.000382115,0.000382115
76,699.624,0.57481,0.48341,0.85146,0.84149,0.92281,0.91267,0.73447,0.82494,0.80861,0.90127,0.000367967,0.000367967,0.000367967
77,703.513,0.67061,0.59881,0.95928,0.84149,0.92281,0.91267,0.73447,0.82494,0.80861,0.90127,0.00035382,0.00035382,0.00035382
78,707.324,0.5906,0.52911,0.88194,0.83488,0.909,0.91596,0.74312,0.82303,0.79595,0.89823,0.000339673,0.000339673,0.000339673
79,711.356,0.56088,0.49937,0.84338,0.83488,0.909,0.91596,0.74312,0.82303,0.79595,0.89823,0.000325526,0.000325526,0.000325526
80,715.189,0.58359,0.51828,0.87526,0.83636,0.90217,0.91596,0.75244,0.80139,0.79861,0.89217,0.000311379,0.000311379,0.000311379
81,718.975,0.56784,0.52198,0.8737,0.83636,0.90217,0.91596,0.75244,0.80139,0.79861,0.89217,0.000297232,0.000297232,0.000297232
82,722.831,0.55478,0.50431,0.85175,0.83382,0.90343,0.91896,0.74704,0.7899,0.8028,0.88944,0.000283085,0.000283085,0.000283085
83,726.635,0.57145,0.49801,0.87507,0.83382,0.90343,0.91896,0.74704,0.7899,0.8028,0.88944,0.000268938,0.000268938,0.000268938
84,730.461,0.53198,0.48929,0.89914,0.86508,0.89058,0.91896,0.74559,0.8101,0.77343,0.89273,0.000254791,0.000254791,0.000254791
85,734.138,0.54545,0.51127,0.86438,0.86508,0.89058,0.91896,0.74559,0.8101,0.77343,0.89273,0.000240644,0.000240644,0.000240644
86,737.987,0.58823,0.51547,0.86898,0.88492,0.89319,0.91081,0.72242,0.8495,0.74412,0.90547,0.000226497,0.000226497,0.000226497
87,742.854,0.56135,0.47923,0.84655,0.88492,0.89319,0.91081,0.72242,0.8495,0.74412,0.90547,0.000212349,0.000212349,0.000212349
88,748.438,0.61196,0.54026,0.87671,0.88309,0.88729,0.89844,0.6981,0.89377,0.74394,0.92232,0.000198202,0.000198202,0.000198202
89,754.016,0.63072,0.5157,0.85932,0.88309,0.88729,0.89844,0.6981,0.89377,0.74394,0.92232,0.000184055,0.000184055,0.000184055
90,760.344,0.57286,0.487,0.84284,0.88327,0.89523,0.89681,0.6964,0.90878,0.73562,0.93,0.000169908,0.000169908,0.000169908
91,766.687,0.52835,0.4689,0.83843,0.88327,0.89523,0.89681,0.6964,0.90878,0.73562,0.93,0.000155761,0.000155761,0.000155761
92,774.686,0.60354,0.49077,0.83957,0.8781,0.89495,0.89681,0.69967,0.87349,0.7336,0.92046,0.000141614,0.000141614,0.000141614
93,780.306,0.50959,0.46265,0.81562,0.8781,0.89495,0.89681,0.69967,0.87349,0.7336,0.92046,0.000127467,0.000127467,0.000127467
94,785.936,0.64315,0.5188,0.87972,0.87249,0.89358,0.90496,0.71371,0.82942,0.74046,0.9066,0.00011332,0.00011332,0.00011332
95,791.647,0.4575,0.45998,0.82768,0.87249,0.89358,0.90496,0.71371,0.82942,0.74046,0.9066,9.91726e-05,9.91726e-05,9.91726e-05
96,797.175,0.51401,0.4764,0.85669,0.91114,0.8891,0.90863,0.7156,0.8131,0.75654,0.89725,8.50255e-05,8.50255e-05,8.50255e-05
97,802.551,0.52169,0.48469,0.83926,0.91114,0.8891,0.90863,0.7156,0.8131,0.75654,0.89725,7.08784e-05,7.08784e-05,7.08784e-05
98,808.186,0.44638,0.44601,0.82078,0.91294,0.88927,0.90863,0.71499,0.82222,0.76319,0.89694,5.67313e-05,5.67313e-05,5.67313e-05
99,813.959,0.50557,0.46326,0.83116,0.91294,0.88927,0.90863,0.71499,0.82222,0.76319,0.89694,4.25842e-05,4.25842e-05,4.25842e-05
100,819.404,0.46143,0.45353,0.82869,0.90857,0.88889,0.90904,0.71126,0.83772,0.76133,0.89963,2.84371e-05,2.84371e-05,2.84371e-05
