epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,534.804,0.64315,0.5188,0.87972,0.87249,0.89358,0.90496,0.71371,0.82942,0.74046,0.9066,0.00011332,0.00011332,0.00011332
95,541.519,0.4575,0.45998,0.82768,0.87249,0.89358,0.90496,0.71371,0.82942,0.74046,0.9066,9.91726e-05,9.91726e-05,9.91726e-05
96,548.781,0.51401,0.4764,0.85669,0.91114,0.8891,0.90863,0.7156,0.8131,0.75654,0.89725,8.50255e-05,8.50255e-05,8.50255e-05
97,555.344,0.52169,0.48469,0.83926,0.91114,0.8891,0.90863,0.7156,0.8131,0.75654,0.89725,7.08784e-05,7.08784e-05,7.08784e-05
98,786.984,0.44638,0.44601,0.82078,0.91294,0.88927,0.90863,0.71499,0.82222,0.76319,0.89694,5.67313e-05,5.67313e-05,5.67313e-05
99,794.179,0.50557,0.46326,0.83116,0.91294,0.88927,0.90863,0.71499,0.82222,0.76319,0.89694,4.25842e-05,4.25842e-05,4.25842e-05
100,799.789,0.46143,0.45353,0.82869,0.90857,0.88889,0.90904,0.71126,0.83772,0.76133,0.89963,2.84371e-05,2.84371e-05,2.84371e-05
