epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,247.551,0.88838,0.86713,0.9743,0.65233,0.36842,0.45493,0.32207,1.60254,1.73321,1.67953,0.0011882,0.0011882,0.0011882
43,253.227,1.03887,1.01292,1.07692,0.47382,0.52632,0.55472,0.33708,1.5801,1.65045,1.63821,0.0011684,0.0011684,0.0011684
44,258.997,1.13885,0.94032,1.03554,0.36272,0.52632,0.42466,0.29011,1.57219,1.72149,1.61685,0.0011486,0.0011486,0.0011486
45,264.612,0.86991,0.73894,0.94059,0.36272,0.52632,0.42466,0.29011,1.57219,1.72149,1.61685,0.0011288,0.0011288,0.0011288
46,270.162,0.86328,0.77542,0.95858,0.35848,0.47368,0.38793,0.26179,1.62427,1.82094,1.60932,0.001109,0.001109,0.001109
47,275.853,1.02354,0.83136,0.94281,0.45561,0.57895,0.50545,0.31607,1.56557,1.79729,1.52475,0.0010892,0.0010892,0.0010892
48,281.513,0.80882,0.72649,0.94334,0.61714,0.57895,0.57942,0.36592,1.52444,1.69189,1.53208,0.0010694,0.0010694,0.0010694
49,287.27,0.89566,0.7658,0.94089,0.61714,0.57895,0.57942,0.36592,1.52444,1.69189,1.53208,0.0010496,0.0010496,0.0010496
50,292.929,1.00575,0.73964,0.9493,0.654,0.52632,0.54301,0.35694,1.56163,1.68367,1.5811,0.0010298,0.0010298,0.0010298
51,298.764,1.59516,1.90805,1.57162,0.8441,0.57051,0.62818,0.34173,1.56185,1.7818,1.54716,0.00101,0.00101,0.00101
52,304.369,0.90565,0.82647,0.94346,0.77098,0.52632,0.60995,0.30373,1.51347,1.92165,1.48786,0.0009902,0.0009902,0.0009902
53,310.135,0.88129,0.85848,0.94606,0.77098,0.52632,0.60995,0.30373,1.51347,1.92165,1.48786,0.0009704,0.0009704,0.0009704
54,315.925,0.90513,0.69568,0.94049,0.77952,0.47368,0.49698,0.30848,1.5212,1.96658,1.48776,0.0009506,0.0009506,0.0009506
55,321.67,0.9426,0.92987,1.04755,0.6929,0.42105,0.40672,0.29453,1.52588,2.06286,1.50639,0.0009308,0.0009308,0.0009308
56,327.553,1.17432,1.10368,1.195,0.8188,0.31579,0.38556,0.30493,1.48407,1.99973,1.52274,0.000911,0.000911,0.000911
57,333.196,1.18025,1.01216,1.21836,0.8188,0.31579,0.38556,0.30493,1.48407,1.99973,1.52274,0.0008912,0.0008912,0.0008912
58,338.885,0.9072,0.80437,0.9693,1,0.35677,0.45538,0.29691,1.458,2.02085,1.51886,0.0008714,0.0008714,0.0008714
59,344.577,0.83879,0.74075,0.88075,0.88839,0.41916,0.50047,0.31737,1.45656,1.93111,1.51977,0.0008516,0.0008516,0.0008516
60,350.375,0.98643,1.06268,1.06983,0.84239,0.56349,0.63193,0.38801,1.44307,1.59875,1.49545,0.0008318,0.0008318,0.0008318
61,356.102,0.83858,0.73038,0.94317,0.84239,0.56349,0.63193,0.38801,1.44307,1.59875,1.49545,0.000812,0.000812,0.000812
62,361.781,0.84787,0.72375,0.96027,0.92156,0.61913,0.77273,0.4413,1.44766,1.2425,1.50214,0.0007922,0.0007922,0.0007922
63,367.526,0.68307,0.63863,0.88826,0.93284,0.73143,0.81763,0.4766,1.42591,1.05364,1.45441,0.0007724,0.0007724,0.0007724
64,373.416,0.76031,0.6771,0.94097,0.93686,0.78137,0.83617,0.46984,1.40006,1.03465,1.40278,0.0007526,0.0007526,0.0007526
65,379.225,1.05685,1.37968,1.15983,0.93686,0.78137,0.83617,0.46984,1.40006,1.03465,1.40278,0.0007328,0.0007328,0.0007328
66,384.868,0.74268,0.67434,0.91784,0.93728,0.78665,0.83259,0.46787,1.47487,1.06756,1.42889,0.000713,0.000713,0.000713
67,390.696,0.79054,0.70075,0.93917,0.86787,0.73684,0.78491,0.48463,1.4782,1.07572,1.43642,0.0006932,0.0006932,0.0006932
68,396.458,0.79097,0.68356,0.89213,0.84881,0.68421,0.77212,0.443,1.49375,1.13515,1.39113,0.0006734,0.0006734,0.0006734
69,402.149,0.7219,0.70445,0.95467,0.84881,0.68421,0.77212,0.443,1.49375,1.13515,1.39113,0.0006536,0.0006536,0.0006536
70,408.113,0.88846,0.66198,0.93052,0.90906,0.63158,0.74924,0.41549,1.52123,1.1472,1.37571,0.0006338,0.0006338,0.0006338
71,414.232,0.83314,0.7344,0.93353,0.91493,0.68421,0.73167,0.4439,1.46493,1.14914,1.3801,0.000614,0.000614,0.000614
72,420.196,0.80189,0.6764,0.97518,0.84839,0.63158,0.67419,0.42573,1.47789,1.12745,1.39576,0.0005942,0.0005942,0.0005942
73,426.029,0.86652,0.7461,0.98353,0.84839,0.63158,0.67419,0.42573,1.47789,1.12745,1.39576,0.0005744,0.0005744,0.0005744
74,432.132,0.91449,0.72864,0.92593,0.91019,0.68421,0.6856,0.40695,1.52278,1.09949,1.41419,0.0005546,0.0005546,0.0005546
75,438.141,1.67579,2.25663,1.59166,0.98851,0.73684,0.79416,0.45749,1.5378,1.06989,1.45606,0.0005348,0.0005348,0.0005348
76,444.252,0.87221,0.93078,1.01355,0.92838,0.68238,0.7136,0.47183,1.55723,1.07209,1.46612,0.000515,0.000515,0.000515
77,450.359,0.7337,0.76215,0.9556,0.92838,0.68238,0.7136,0.47183,1.55723,1.07209,1.46612,0.0004952,0.0004952,0.0004952
78,456.386,0.89583,0.80289,0.98968,1,0.71933,0.80833,0.48247,1.54517,1.05472,1.47855,0.0004754,0.0004754,0.0004754
79,462.418,0.98652,0.7818,1.09264,0.92851,0.73684,0.80912,0.4395,1.51613,1.03446,1.47662,0.0004556,0.0004556,0.0004556
80,468.697,0.70821,0.65501,0.90141,0.97086,0.68421,0.80226,0.40876,1.55082,1.07313,1.51107,0.0004358,0.0004358,0.0004358
81,474.553,0.77959,0.74221,0.98187,0.97086,0.68421,0.80226,0.40876,1.55082,1.07313,1.51107,0.000416,0.000416,0.000416
82,480.446,0.69247,0.71004,0.89505,0.90532,0.68421,0.79019,0.39956,1.56,1.13693,1.52184,0.0003962,0.0003962,0.0003962
83,486.366,0.71315,0.59284,0.88861,0.90624,0.68421,0.77734,0.39958,1.59879,1.18967,1.59763,0.0003764,0.0003764,0.0003764
84,492.376,0.93573,0.87818,0.98406,0.75871,0.66275,0.72698,0.41394,1.59414,1.24557,1.61624,0.0003566,0.0003566,0.0003566
85,498.302,0.85825,0.73559,0.91682,0.75871,0.66275,0.72698,0.41394,1.59414,1.24557,1.61624,0.0003368,0.0003368,0.0003368
86,504.385,0.80432,0.68805,0.94677,0.70121,0.68421,0.69956,0.37843,1.53312,1.3281,1.55187,0.000317,0.000317,0.000317
87,510.341,0.73901,0.65372,0.91091,0.77712,0.55149,0.6669,0.37615,1.47403,1.40487,1.50159,0.0002972,0.0002972,0.0002972
88,516.09,1.26404,2.05369,1.05954,0.60432,0.63158,0.63472,0.36397,1.45379,1.43852,1.48404,0.0002774,0.0002774,0.0002774
89,522.12,0.7484,0.65332,0.8843,0.60432,0.63158,0.63472,0.36397,1.45379,1.43852,1.48404,0.0002576,0.0002576,0.0002576
90,527.768,0.84179,0.74531,1.00984,0.65657,0.63158,0.6232,0.36213,1.46306,1.45903,1.49238,0.0002378,0.0002378,0.0002378
